"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-08-09",154466,614,15081,9307,847,48866,332896,56979924,666631,1578,2507,5000327,50153,1655695,56,66283775,778317
"2020-08-08",153852,1084,15024,9662,1432,49935,332049,56313293,617221,1561,2566,4950174,53084,1641953,56,65505458,741112
"2020-08-07",152768,1333,14925,9691,8007,51201,330617,55696072,720573,1549,2617,4897090,60838,1622789,56,64764346,893167
"2020-08-06",151435,1248,14810,9994,2695,53129,322610,54975499,687988,1534,2718,4836252,53802,1597514,56,63871179,834237
"2020-08-05",150187,1360,14687,9986,2268,53343,319915,54287511,643007,1524,2719,4782450,52464,1576782,56,63036942,787826
"2020-08-04",148827,1239,14537,10207,4521,53323,317647,53644504,667092,1493,2701,4729986,51814,1528017,56,62249116,774602
"2020-08-03",147588,536,14370,10230,1723,53413,313126,52977412,686270,1463,2659,4678172,49348,1512439,56,61474514,799660
"2020-08-02",147052,494,14288,10415,803,53983,311403,52291142,644027,1448,2645,4628824,46511,1467653,56,60674854,750096
"2020-08-01",146558,1192,14227,10450,2314,54437,310600,51647115,676581,1445,2698,4582313,60247,1460930,56,59924758,825450
"2020-07-31",145366,1313,14044,10472,2639,55589,308286,50970534,657359,1437,2703,4522066,67529,1437182,56,59099308,996707
"2020-07-30",144053,1248,13875,10523,3316,56434,305647,50313175,735447,1415,2760,4454537,68806,1413102,56,58102601,890948
"2020-07-29",142805,1491,13744,10539,2972,57325,302331,49577728,764501,1400,2772,4385731,63941,1389701,56,57211653,906258
"2020-07-28",141314,1128,13559,10463,4716,57086,299359,48813227,712706,1372,2752,4321790,58984,1354538,56,56305395,852157
"2020-07-27",140186,1065,13412,10328,1701,58906,294643,48100521,701935,1356,2720,4262806,55014,1324925,56,55453238,824570
"2020-07-26",139121,560,13343,10353,1412,58644,292942,47398586,776858,1336,2723,4207792,60123,1296974,56,54628668,893264
"2020-07-25",138561,1005,13279,10380,1931,59269,291530,46621728,716826,1300,2729,4147669,64374,1278557,56,53735404,880694
"2020-07-24",137556,1192,13182,10395,3091,59677,289599,45904902,852858,1297,2711,4083295,74857,1260741,56,52854710,1003121
"2020-07-23",136364,1061,12933,10414,2501,59712,286508,45052044,769065,1280,2465,4008438,71225,1232403,56,51851589,907908
"2020-07-22",135303,1134,12790,10457,2226,59598,284007,44282979,731762,1258,2440,3937213,69344,1210067,56,50943681,884346
"2020-07-21",134169,1069,12629,6711,2603,59351,281781,43551217,680513,1242,2414,3867869,63624,1182158,56,50059335,810754
"2020-07-20",133100,369,12475,6557,1649,58352,279178,42870704,654023,1223,2403,3804245,56936,1159320,56,49248581,760463
"2020-07-19",132731,527,12393,6384,931,57882,277529,42216681,715887,1216,2362,3747309,63717,1130378,56,48488118,842553
"2020-07-18",132204,873,12342,6397,2004,57646,276598,41500794,688587,1211,2343,3683592,64424,1121981,56,47645565,843393
"2020-07-17",131331,936,12243,6452,2689,57737,274594,40812207,757272,1200,2353,3619168,76218,1106096,56,46802172,910758
"2020-07-16",130395,953,12091,6359,2250,57459,271905,40054935,758009,1175,2317,3542950,70446,1089922,56,45891414,901382
"2020-07-15",129442,860,12002,6317,2374,56168,269655,39296926,704424,1166,2317,3472504,65619,1075159,56,44990032,845306
"2020-07-14",128582,739,11857,6235,2251,55554,267281,38592502,703503,1154,2263,3406885,62734,1048400,56,44144726,814100
"2020-07-13",127843,331,11749,6074,1257,54044,265030,37888999,632910,1142,2259,3344151,57602,1031219,56,43330626,759836
"2020-07-12",127512,474,11679,5930,921,52739,263773,37256089,702225,1136,2182,3286549,60972,1005644,56,42570790,823811
"2020-07-11",127038,752,11612,5939,5134,51861,262852,36553864,632552,1128,2169,3225577,62325,994923,56,41746979,757685
"2020-07-10",126286,822,11523,5896,2331,51606,257718,35921312,745927,1118,2197,3163252,66824,982521,56,40989294,888512
"2020-07-09",125464,900,11370,5845,1645,43916,255387,35175385,652468,1138,2127,3096428,58961,968441,56,40100782,769300
"2020-07-08",124564,812,11303,5874,1990,43097,253742,34522917,578902,1103,2172,3037467,62736,952731,56,39331482,708221
"2020-07-07",123752,905,11177,5832,2082,41772,251752,33944015,582263,1084,2098,2974731,51742,935850,56,38623261,682623
"2020-07-06",122847,266,11058,5687,817,39820,249670,33361752,472998,1070,2105,2922989,41494,923481,56,37940638,646440
"2020-07-05",122581,207,11010,5653,596,38765,248853,32888754,626216,1064,2080,2881495,45167,901881,56,37294198,687116
"2020-07-04",122374,300,10977,5633,869,38150,248257,32262538,575137,1063,1982,2836328,54144,893652,56,36607082,659445
"2020-07-03",122074,602,10936,5597,1440,37801,247388,31687401,648817,1059,2049,2782184,53688,883025,56,35947637,731009
